36470	AA30
35030	87A0
1156	4A33
17B4A	7896
296A	2654
67107	13537
53	42
12214	110D2
1BFB	E21
227246	252665
C413	25B1B
3325	1425
95AC	EFC7
532135	2012522
23213	36251
1A281	1439D
2709C	23AA5
45684	48654
35433	43243
3401012	4224340
1013553	403340
33312321	20301222
74515	40055
86399	99368
155D5	10A0B
2C57	28A1
21102102	1120102
38706	60783
3616A	4119A
3251	13346
33301110	100332222
1310	24B7
1111100200	122010200
74139	93147
31553	4A073
9608	9EC8
38707	158457
48618	81684
A33B	56E8
3214002	1301440
2001201201	10200121001
142750	133015
150601	21581
22022	102235
7A6	218F
1301253	1024523
10011010101100011	111011001011001
55368	54568
10311233	20001323
1A67	A1A
