155EA	113E1
CB00	11903
1132051	455321
A383	19116
11110020012	10210102212
26121	152047
1010B	7888
1413221	4140232
3315	2A27
3A7D	BA31
23335	14452
354554	1250311
726	4979
10111111100110101	10011111001101
26721	42461
425044	513031
6C14	1DAB7
244C	1C6C
402450	313656
32112	21123
1110110000101001	10010011010001110
220120012	10002122012
10010110000110	1011110110101
1C9CA	1AC21
1042420	3332411
445223	1104453
19127	C728
552622	351622
35219	37579
226624	404206
10211103	2111113
11743	10523
1314133	10224122
6317	D71D
348B5	8236
10010111011011	11110110001
1C62B	26B55
54154	174206
1D335	BD11
20B05	10803
9673	DB8C
534205	1540022
4142040	3400021
10234243	2022433
2224B	29172
2203222	4331343
1850A	1083C
1506B	1B593
70688	88607
817A	19AAA
1010022020	1110210220
1013132	1022102
253202	70006
110010011000011	1110100101101000
13030	12A56
2222112000	11120000200
1104223	2001031
1CD18	AE9E
48281	18437
12123003	101023122
67D7	16517
87781	18778
7A27	9248
13646	10206
5524	34426
3425	3056
2027C	11B45
2013421	401351
1310131	313123
92891	19829
11122013	3230102
77458	116528
10011011100101000	10000000010100001
26334	6504
10000100000	1111012000
3B925	84A8
1203013	311230
171330	250156
5689	9865
22202021	111100121
223212	333025
1110111011100	1000101110011
135161	47221
275445	37317
1430013	1342030
102427	110237
28879	97882
10110331	4120133
33748	27238
101101000111	1111011001010
147137	16707
1012121	1032332
112313	320321
10B5D	D4D6
6169	2BC8A
136574	143064
11607	35625
4271A	3391A
201365	114542
131421	62081
75782	46722
500424	541530
67437	54127
12020221	10021021
1222122022	2001010122
30200232	33223113
53155	162451
47A75	25A45
131DF	76B3
1111001100111100	10101000011010010
1155113	1322030
38045	54083
344224	160612
21B83	1D3A2
10A06	51A96
250435	61210
222152	515060
132031	133351
74203	36673
58A55	22185
6018	8106
500342	115643
100030333	102221032
136A8	142A5
261733	301313
28037	46037
111A4	48874
72542	135612
2102111	4100033
223554	534351
121011121	11111200121
123285	131105
63C4	1BA77
50141	14105
40A83	1A300
490A7	16B01
358B4	288A9
3203432	4243020
193A7	31080
9893	3989
11010110000001	10011011100001111
11D97	5598
33A18	37798
541445	44540
7C87	27804
113E9	EB80
64524	42546
24817	CB41
412322	1321211
141237	100176
4550A	1BB01
31809	90813
2023401	1412501
123661	161861
356AA	A54C
2517	4449
220023	166422
360B	3497
30148	84103
1D15	1547
65322	60832
170C	BE9
232530	71015
166072	134456
41407	70414
15653	7337
156325	74765
102313122	23202231
30A5B	34007
16887	6287
95D1	8A37
98C2	174B8
11000303	3102332
1250225	1400042
10101100100100011	1101100001011100
15113	2540
122200	1230301
84055	55048
211122211	11122121011
50381	51911
E4AE	C3DE
17F18	69D1
453114	122016
10010111011001	10011010001101
497BB	3728B
9CA5	23124
411406	254224
1BCD7	78C4
21112303	13321333
13301	30122
106122	54651
77281	85101
3423444	2321431
162226	414031
140765	105556
80597	79508
200443	104421
213511	233071
2428D	15140
45102	13232
27517	107647
415453	513103
24510	15223
10121212201	1210110001
2794A	18B3C
323	496
233560	165400
2114	1731
11201122	22211122
544445	115002
48446	64484
